"p","trueBinSmoothed","pAgg","trueBinSmoothedAgg"
0.1351,0.161454105508524,NA,NA
0.0675,0.0943392846078621,NA,NA
0.0337,0.0555841461429518,NA,NA
0.0168,0.0368415879186813,NA,NA
0.053,0.0779383442166392,NA,NA
0.093,0.122433993484906,NA,NA
0.133,0.159652282821122,NA,NA
0.267,0.254198014232809,NA,NA
0.107,0.136491411458162,NA,NA
0.021,0.0413541818753442,NA,NA
0.043,0.0663666091739686,NA,NA
0.061,0.0870200098270836,NA,NA
0.087,0.1159831420334,NA,NA
0.124,0.151860422001183,NA,NA
0.178,0.197352230027272,NA,NA
0.194,0.20981827837796,NA,NA
0.136,0.162224873279509,NA,NA
0.044,0.067531735569985,NA,NA
0.089,0.118152666953942,NA,NA
0.128,0.155339849851139,NA,NA
0.182,0.20055805385743,NA,NA
0.168,0.189175573084756,NA,NA
0.117,0.14567669690055,NA,NA
0.058,0.0836270237345587,NA,NA
0.069,0.09602234867054,NA,NA
0.0139,0.0337873758739591,NA,NA
0.0697,0.0968069559895774,NA,NA
0.1394,0.165129788514871,NA,NA
0.2787,0.261077771217034,NA,NA
0.3484,0.304783534302518,NA,NA
0.0035,0.0232045718385919,NA,NA
0.0169,0.0369477933987098,NA,NA
0.0085,0.0282292539367913,NA,NA
0.0424,0.0656674803419266,NA,NA
0.1271,0.15455960827607,NA,NA
0.1695,0.190413378488604,NA,NA
0.2119,0.222169452207644,NA,NA
0.1483,0.172690149762782,NA,NA
0.0847,0.113469364329865,NA,NA
0.0636,0.0899527039086737,NA,NA
0.0223,0.0427724773436377,NA,NA
0.0318,0.0534084425838358,NA,NA
0.0454,0.0691619358106104,NA,NA
0.0649,0.0914165523400007,NA,NA
0.0927,0.122115991023409,NA,NA
0.1324,0.159136547693223,NA,NA
0.1891,0.206113275428115,NA,NA
